#{"t_start": 1783721429.796538, "env_id": "SpaceInvaders-v0"}
r,l,t
7.0,717,6.842741
9.0,788,7.350512
6.0,510,7.655819
6.0,627,8.022979
15.0,1057,8.64018
8.0,937,9.199888
18.0,863,9.712291
9.0,459,9.988696
8.0,714,10.415165
11.0,786,10.897206
4.0,494,11.191081
10.0,857,11.702043
13.0,640,12.081937
7.0,618,12.454679
4.0,505,12.760385
5.0,483,13.048185
6.0,691,13.465402
5.0,361,13.686108
17.0,1027,14.281226
12.0,904,14.814218
9.0,759,15.265858
16.0,1140,15.938249
3.0,516,16.250483
5.0,532,16.570066
7.0,616,16.939933
9.0,662,17.338843
22.0,1153,18.003847
3.0,384,18.249866
20.0,1147,18.913395
8.0,507,19.218023
8.0,592,19.576378
13.0,733,20.062993
5.0,548,20.409974
6.0,766,20.869095
9.0,752,21.315408
4.0,378,21.543253
3.0,435,21.804056
6.0,543,22.130028
6.0,507,22.434463
9.0,785,22.90181
18.0,1137,23.56807
13.0,901,24.09847
17.0,897,24.627573
5.0,568,24.973045
9.0,755,25.424546
7.0,494,25.722234
16.0,1005,26.320341
9.0,669,26.716313
5.0,563,27.053562
10.0,647,27.440688
5.0,504,27.745404
6.0,374,27.971297
8.0,655,28.363051
12.0,795,28.833761
4.0,367,29.057796
7.0,510,29.369206
4.0,605,29.733764
6.0,459,30.017111
4.0,371,30.247135
10.0,734,30.679173
14.0,830,31.170125
16.0,979,31.75268
4.0,535,32.074572
6.0,493,32.454382
13.0,794,32.922653
13.0,1140,33.58571
11.0,687,34.000041
9.0,797,34.473694
14.0,860,34.975745
9.0,579,35.325484
5.0,770,35.783457
4.0,573,36.12757
11.0,714,36.556977
8.0,708,36.975281
18.0,924,37.517555
16.0,973,38.091529
9.0,750,38.53896
6.0,453,38.811632
13.0,869,39.325506
4.0,506,39.629511
9.0,513,39.940124
4.0,354,40.156446
12.0,717,40.577418
18.0,852,41.093773
18.0,1477,41.935871
6.0,547,42.266111
11.0,970,42.847662
12.0,764,43.297677
13.0,916,43.842004
7.0,540,44.159223
12.0,703,44.573564
13.0,920,45.125334
3.0,579,45.474418
5.0,395,45.711321
29.0,1264,46.430554
27.0,1515,47.272825
14.0,776,47.728869
