#{"t_start": 1783733613.9738474, "env_id": "SpaceInvaders-v0"}
r,l,t
180.0,1110,0.837459
210.0,713,1.267038
110.0,527,1.573969
170.0,641,1.940069
115.0,782,2.3893
120.0,482,2.668491
250.0,796,3.130055
20.0,473,3.407359
75.0,521,3.715832
125.0,592,4.056766
655.0,1413,4.820317
90.0,635,5.187721
170.0,966,5.742726
55.0,535,6.063895
25.0,425,6.317873
70.0,404,6.552721
45.0,379,6.778853
70.0,677,7.176829
50.0,657,7.56198
55.0,376,7.781073
80.0,363,8.010774
65.0,457,8.283869
135.0,800,8.750793
525.0,957,9.300911
165.0,669,9.690438
35.0,643,10.071183
90.0,626,10.43528
105.0,656,10.818818
100.0,857,11.316067
315.0,745,11.758538
155.0,584,12.095768
80.0,611,12.45426
155.0,664,12.84117
90.0,740,13.276601
45.0,377,13.497786
415.0,907,14.016556
60.0,480,14.298774
55.0,511,14.606418
90.0,657,14.990009
60.0,529,15.2954
155.0,696,15.701094
105.0,679,16.093838
80.0,557,16.418158
80.0,537,16.73454
120.0,700,17.143128
60.0,691,17.546907
90.0,657,17.925308
65.0,487,18.213703
130.0,660,18.593073
315.0,1039,19.181536
75.0,507,19.476928
25.0,420,19.722592
195.0,1066,20.327967
190.0,832,20.807529
50.0,538,21.121023
45.0,376,21.343455
100.0,609,21.713172
230.0,925,22.242207
280.0,937,22.78307
20.0,475,23.062421
45.0,547,23.383582
235.0,874,23.892652
380.0,851,24.38365
130.0,669,24.77794
155.0,680,25.17266
140.0,621,25.533405
65.0,610,25.894513
115.0,521,26.198419
110.0,501,26.48631
55.0,462,26.758848
320.0,982,27.318672
290.0,985,27.867663
25.0,340,28.068968
50.0,525,28.37194
285.0,799,28.828543
100.0,610,29.190028
95.0,661,29.577363
50.0,378,29.799885
180.0,712,30.208628
400.0,1128,30.846879
335.0,822,31.321134
140.0,688,31.717423
110.0,642,32.088666
55.0,528,32.39537
315.0,1113,33.012111
125.0,689,33.412639
150.0,797,33.876434
25.0,501,34.174906
35.0,615,34.523193
130.0,658,34.905814
45.0,516,35.2114
60.0,505,35.507525
160.0,667,35.890798
115.0,400,36.124066
215.0,1243,36.830384
285.0,876,37.321414
315.0,968,37.875077
55.0,370,38.092724
90.0,444,38.356823
210.0,644,38.728121
245.0,866,39.227796
415.0,1255,39.916857
25.0,317,40.104187
45.0,407,40.345104
80.0,501,40.63676
40.0,407,40.880478
50.0,414,41.121471
230.0,829,41.599564
100.0,666,41.98501
130.0,802,42.449145
60.0,643,42.819457
140.0,707,43.232637
20.0,388,43.467667
20.0,374,43.698681
50.0,534,44.009928
60.0,527,44.321286
140.0,528,44.62771
165.0,671,45.01351
160.0,625,45.377648
70.0,607,45.728703
130.0,643,46.107214
165.0,655,46.487227
425.0,1184,47.15617
80.0,536,47.469258
55.0,498,47.758518
195.0,1225,48.459517
15.0,513,48.756324
50.0,513,49.060996
180.0,713,49.48213
35.0,494,49.769107
205.0,807,50.236562
110.0,442,50.494842
175.0,633,50.871613
90.0,586,51.217621
215.0,957,51.759805
75.0,513,52.055385
95.0,508,52.35458
115.0,846,52.842417
190.0,939,53.374251
365.0,1243,54.082526
20.0,400,54.321612
20.0,352,54.530939
60.0,537,54.842206
50.0,432,55.092661
80.0,506,55.388956
40.0,387,55.615916
275.0,1164,56.274453
85.0,687,56.67252
105.0,569,57.006515
50.0,393,57.240173
90.0,813,57.705616
215.0,767,58.153387
290.0,948,58.696427
155.0,835,59.180236
45.0,570,59.518917
160.0,677,59.908827
30.0,641,60.28295
105.0,406,60.522234
120.0,571,60.857129
455.0,1079,61.464172
65.0,372,61.685274
235.0,920,62.206647
135.0,937,62.741878
210.0,1002,63.310131
30.0,519,63.613832
185.0,702,64.01478
120.0,633,64.384071
75.0,497,64.677603
150.0,572,65.00903
200.0,865,65.510997
155.0,775,65.967932
220.0,1083,66.592728
155.0,596,66.93603
260.0,1048,67.52553
90.0,402,67.767808
35.0,661,68.152335
105.0,682,68.549375
60.0,381,68.772903
185.0,961,69.32127
220.0,821,69.784148
355.0,947,70.324423
120.0,705,70.730716
55.0,399,70.964648
50.0,504,71.266727
345.0,1073,71.867733
20.0,364,72.084308
180.0,897,72.612643
10.0,492,72.90635
195.0,807,73.384637
210.0,956,73.950663
55.0,509,74.262364
95.0,492,74.571295
105.0,496,74.86303
410.0,1175,75.533965
355.0,800,75.992781
110.0,682,76.389553
125.0,707,76.79258
145.0,645,77.16545
115.0,811,77.630305
125.0,838,78.113731
125.0,833,78.605066
305.0,1083,79.226386
185.0,720,79.641432
105.0,623,80.006959
80.0,585,80.352784
415.0,1228,81.047847
120.0,538,81.360647
80.0,518,81.659966
275.0,1013,82.248047
65.0,399,82.485816
150.0,922,83.015256
330.0,1102,83.640533
130.0,739,84.071312
50.0,379,84.299076
155.0,676,84.696099
285.0,1052,85.309283
290.0,931,85.851568
445.0,1184,86.524599
110.0,760,86.974337
20.0,384,87.207411
45.0,508,87.503895
235.0,876,88.001358
55.0,639,88.372996
160.0,641,88.749796
55.0,371,88.971718
45.0,622,89.340372
75.0,643,89.712218
45.0,494,90.011661
65.0,531,90.322636
220.0,918,90.850619
135.0,706,91.264212
475.0,1067,91.865627
160.0,685,92.26136
5.0,395,92.495025
80.0,700,92.903885
320.0,639,93.273061
45.0,501,93.569645
100.0,493,93.859546
250.0,1115,94.503243
70.0,570,94.842637
80.0,634,95.2091
130.0,609,95.563335
10.0,453,95.828022
90.0,649,96.209124
35.0,509,96.505987
300.0,1032,97.093035
130.0,816,97.586346
110.0,590,97.940499
75.0,501,98.240665
350.0,1174,98.910897
120.0,642,99.302431
175.0,821,99.791584
225.0,816,100.265958
90.0,645,100.642503
95.0,721,101.062534
170.0,843,101.546988
125.0,714,101.954257
50.0,539,102.275371
75.0,612,102.628305
135.0,764,103.066655
270.0,1191,103.728242
220.0,612,104.079531
320.0,704,104.492875
330.0,1228,105.162903
100.0,767,105.605754
70.0,402,105.853191
120.0,668,106.243344
60.0,454,106.510562
120.0,708,106.92197
45.0,593,107.274004
50.0,370,107.49357
185.0,685,107.893115
170.0,524,108.199013
135.0,598,108.548034
50.0,345,108.75211
105.0,743,109.184225
195.0,891,109.695038
125.0,562,110.042139
165.0,731,110.478115
125.0,652,110.866564
150.0,801,111.337071
85.0,504,111.637605
85.0,702,112.05188
185.0,789,112.517906
15.0,613,112.888954
290.0,999,113.45533
70.0,631,113.827522
110.0,647,114.206692
180.0,766,114.647629
135.0,674,115.032449
60.0,513,115.333341
50.0,607,115.691652
20.0,538,116.002707
60.0,662,116.395938
70.0,648,116.770538
90.0,485,117.054627
190.0,986,117.611812
115.0,688,118.011868
110.0,532,118.326436
45.0,519,118.626402
75.0,672,119.025112
155.0,621,119.390687
350.0,995,119.956344
65.0,585,120.30864
120.0,599,120.661033
85.0,660,121.039128
130.0,502,121.336123
265.0,1078,121.949727
110.0,633,122.323848
195.0,736,122.758373
135.0,874,123.267617
190.0,986,123.844883
140.0,715,124.268547
15.0,409,124.511206
120.0,676,125.029085
160.0,621,125.615998
155.0,717,126.292026
110.0,492,126.767614
35.0,531,127.273461
120.0,807,128.018137
30.0,356,128.361556
180.0,835,129.136297
110.0,392,129.517862
40.0,536,130.015364
225.0,1089,131.024013
180.0,644,131.633225
250.0,1082,132.658355
105.0,637,133.261373
20.0,378,133.621133
140.0,788,134.385995
120.0,475,134.831986
195.0,941,135.752544
40.0,655,136.367228
170.0,904,137.272259
50.0,615,137.870418
190.0,1073,138.890605
75.0,496,139.352646
60.0,501,139.830489
300.0,1138,140.887772
90.0,760,141.594059
35.0,629,142.182506
410.0,1054,143.177328
80.0,549,143.678789
45.0,449,144.090793
180.0,629,144.689704
310.0,938,145.578888
110.0,673,146.224264
110.0,634,146.836731
45.0,453,147.265478
305.0,962,148.191231
95.0,632,148.783995
80.0,402,149.17348
65.0,543,149.697438
15.0,334,150.023496
135.0,533,150.566928
215.0,841,151.364847
135.0,605,151.93164
210.0,641,152.537189
35.0,620,153.109502
180.0,669,153.739432
90.0,703,154.416566
45.0,638,155.028492
40.0,573,155.57491
60.0,442,155.988824
35.0,510,156.472095
100.0,674,157.109244
50.0,532,157.614038
50.0,581,158.175181
200.0,713,158.847353
30.0,558,159.384356
155.0,634,159.981005
120.0,664,160.627554
15.0,368,160.97074
170.0,857,161.793562
170.0,855,162.64499
360.0,932,163.542236
310.0,993,164.48032
150.0,735,165.157896
125.0,612,165.726639
125.0,673,166.364976
185.0,866,167.183282
155.0,953,168.068547
170.0,794,168.810702
45.0,401,169.178827
15.0,375,169.521366
30.0,405,169.896822
55.0,410,170.269428
45.0,529,170.763931
300.0,797,171.511168
255.0,853,172.308846
410.0,865,173.10631
30.0,523,173.604838
95.0,666,174.219989
20.0,567,174.741977
50.0,505,175.215739
35.0,392,175.573807
125.0,786,176.319075
75.0,513,176.790319
60.0,528,177.274937
80.0,568,177.810885
130.0,658,178.414775
135.0,777,179.128309
210.0,768,179.83127
35.0,617,180.40362
80.0,547,180.897096
155.0,637,181.492371
55.0,404,181.864851
30.0,524,182.350989
45.0,466,182.774826
20.0,526,183.269392
95.0,560,183.790047
125.0,620,184.377979
120.0,531,184.868147
130.0,700,185.51908
120.0,698,186.186504
60.0,537,186.682283
175.0,870,187.51075
140.0,682,188.166171
120.0,633,188.776515
35.0,528,189.278751
160.0,759,189.984715
175.0,895,190.823111
370.0,842,191.593368
295.0,1121,192.619041
210.0,817,193.370579
55.0,501,193.832518
110.0,543,194.347183
90.0,698,194.98906
60.0,505,195.451797
125.0,633,196.043305
140.0,767,196.773914
265.0,819,197.565986
35.0,485,198.020941
55.0,640,198.654089
195.0,909,199.537521
155.0,707,200.227078
100.0,791,201.008039
175.0,624,201.595161
440.0,1245,202.751071
95.0,615,203.321483
65.0,607,203.877882
130.0,942,204.756077
370.0,912,205.593432
155.0,619,206.174827
170.0,813,206.924887
230.0,1070,207.914316
100.0,541,208.41959
270.0,1103,209.464519
120.0,546,209.971544
30.0,382,210.324277
260.0,967,211.238141
345.0,1340,212.50916
335.0,1101,213.577109
180.0,902,214.432483
180.0,863,215.209912
125.0,601,215.751233
60.0,500,216.202453
155.0,746,216.886777
45.0,374,217.231227
395.0,1111,218.252223
210.0,750,218.953074
155.0,552,219.475997
155.0,644,220.07458
45.0,522,220.54626
105.0,606,221.116427
120.0,655,221.73087
175.0,1111,222.763839
160.0,794,223.486494
45.0,376,223.844236
330.0,638,224.451652
50.0,408,224.829737
80.0,518,225.327666
35.0,368,225.675396
165.0,751,226.397855
120.0,766,227.13065
55.0,688,227.769976
135.0,635,228.360271
180.0,688,228.996093
45.0,388,229.346543
135.0,811,230.103805
425.0,1119,231.117073
105.0,721,231.7818
95.0,629,232.361826
70.0,392,232.722765
140.0,627,233.304564
45.0,573,233.848684
335.0,753,234.56287
90.0,533,235.065804
5.0,505,235.535351
150.0,731,236.204175
60.0,487,236.680297
200.0,800,237.442532
65.0,377,237.793754
110.0,695,238.453615
105.0,551,238.976961
60.0,391,239.342837
100.0,486,239.799015
230.0,828,240.55557
100.0,635,241.135042
125.0,806,241.881759
190.0,920,242.734183
125.0,615,243.31
255.0,1013,244.247355
95.0,568,244.782368
115.0,571,245.309488
70.0,485,245.767502
210.0,868,246.594606
165.0,694,247.235364
105.0,555,247.765983
65.0,550,248.275114
90.0,687,248.910504
45.0,409,249.308103
125.0,812,250.071842
15.0,394,250.446297
35.0,388,250.818761
70.0,486,251.289622
105.0,635,251.902152
80.0,591,252.453561
60.0,442,252.85907
130.0,660,253.481391
40.0,528,253.963837
80.0,554,254.483814
110.0,791,255.222544
65.0,377,255.576847
125.0,628,256.159017
40.0,475,256.591566
300.0,744,257.307575
45.0,335,257.625494
110.0,389,257.998442
80.0,686,258.673275
170.0,710,259.352605
250.0,1029,260.354869
480.0,1339,261.610327
125.0,835,262.408016
140.0,510,262.894254
160.0,944,263.820677
120.0,550,264.36367
245.0,1010,265.332213
70.0,657,265.949679
170.0,823,266.708674
85.0,719,267.372437
60.0,620,267.958479
475.0,1170,269.050931
120.0,622,269.638377
310.0,802,270.383676
215.0,717,271.058451
55.0,407,271.451424
25.0,617,272.040355
210.0,1089,273.07541
110.0,837,273.86043
10.0,379,274.207605
75.0,412,274.60778
105.0,516,275.132508
55.0,382,275.507715
30.0,354,275.844203
65.0,355,276.198536
90.0,635,276.827121
35.0,407,277.232588
45.0,450,277.671236
195.0,592,278.236623
55.0,674,278.8699
90.0,659,279.49722
245.0,862,280.299994
65.0,560,280.813457
215.0,1016,281.774046
110.0,520,282.261353
10.0,397,282.635181
155.0,568,283.167199
130.0,674,283.80296
10.0,562,284.343094
180.0,651,284.954322
45.0,701,285.639676
50.0,483,286.088892
95.0,610,286.669572
95.0,544,287.169954
135.0,655,287.793335
30.0,558,288.328398
25.0,408,288.718078
465.0,1032,289.70512
215.0,1002,290.663541
115.0,636,291.258804
80.0,614,291.834827
65.0,377,292.175912
25.0,433,292.582797
225.0,861,293.397952
80.0,442,293.809988
65.0,596,294.371183
150.0,686,295.019008
60.0,511,295.504105
45.0,569,296.046912
200.0,987,296.970341
30.0,651,297.587529
190.0,981,298.521515
205.0,876,299.339133
160.0,924,300.221456
50.0,444,300.647568
80.0,607,301.215189
185.0,1024,302.217549
135.0,659,302.852996
175.0,788,303.594283
75.0,388,303.961569
105.0,757,304.671017
105.0,657,305.285369
110.0,567,305.809495
350.0,1071,306.818549
390.0,1080,307.830145
110.0,599,308.403117
80.0,688,309.070346
50.0,369,309.41301
195.0,628,310.017392
30.0,602,310.602035
105.0,665,311.228035
125.0,736,311.920112
420.0,963,312.833942
75.0,628,313.423904
210.0,758,314.164104
220.0,1004,315.16874
105.0,650,315.77618
55.0,472,316.21474
130.0,657,316.819944
120.0,633,317.420692
195.0,1172,318.522411
530.0,1038,319.484883
475.0,992,320.396937
60.0,605,320.971642
150.0,640,321.584308
360.0,938,322.483393
30.0,350,322.810821
155.0,706,323.478986
80.0,473,323.925111
120.0,657,324.532638
90.0,488,324.989164
30.0,599,325.57428
