#{"t_start": 1783733965.347783, "env_id": "SpaceInvaders-v0"}
r,l,t
180.0,1110,0.847798
210.0,713,1.265368
110.0,527,1.576482
170.0,641,1.952128
115.0,782,2.403235
120.0,482,2.686122
250.0,796,3.152478
20.0,473,3.433043
75.0,521,3.741796
125.0,592,4.087248
655.0,1413,4.858355
90.0,635,5.228355
170.0,966,5.788933
55.0,535,6.114181
25.0,425,6.370557
70.0,404,6.607679
45.0,379,6.838376
70.0,677,7.239919
50.0,657,7.647416
55.0,376,7.870452
80.0,363,8.089272
65.0,457,8.367796
135.0,800,8.842886
525.0,957,9.390643
165.0,669,9.788487
35.0,643,10.169874
90.0,626,10.533772
105.0,656,10.920418
100.0,857,11.41718
315.0,745,11.85409
155.0,584,12.196596
80.0,611,12.555083
155.0,664,12.944453
90.0,740,13.378724
45.0,377,13.600209
415.0,907,14.146688
60.0,480,14.451474
55.0,511,14.749459
90.0,657,15.134777
60.0,529,15.441285
155.0,696,15.849642
105.0,679,16.254796
80.0,557,16.580364
80.0,537,16.898223
120.0,700,17.309642
60.0,691,17.715974
90.0,657,18.09665
65.0,487,18.385602
130.0,660,18.766833
315.0,1039,19.362095
75.0,507,19.659416
25.0,420,19.907426
195.0,1066,20.516125
190.0,832,20.997104
50.0,538,21.31291
45.0,376,21.535783
100.0,609,21.895521
230.0,925,22.428256
280.0,937,22.969908
20.0,475,23.250255
45.0,547,23.581365
235.0,874,24.085864
380.0,851,24.584921
130.0,669,24.984589
155.0,680,25.381902
140.0,621,25.74495
65.0,610,26.109923
115.0,521,26.420192
110.0,501,26.714161
55.0,462,26.994968
320.0,982,27.561161
290.0,985,28.113914
25.0,340,28.316041
50.0,525,28.618739
285.0,799,29.076777
100.0,610,29.435142
95.0,661,29.819924
50.0,378,30.043277
180.0,712,30.451744
400.0,1128,31.096297
335.0,822,31.570072
140.0,688,31.968786
110.0,642,32.34214
55.0,528,32.650848
315.0,1113,33.270553
125.0,689,33.673721
150.0,797,34.13767
25.0,501,34.430954
35.0,615,34.781985
130.0,658,35.166601
45.0,516,35.472365
60.0,505,35.770425
160.0,667,36.155597
115.0,400,36.388208
215.0,1243,37.086827
285.0,876,37.586351
315.0,968,38.14461
55.0,370,38.364619
90.0,444,38.631169
210.0,644,39.010192
245.0,866,39.512297
415.0,1255,40.214137
25.0,317,40.403821
45.0,407,40.644363
80.0,501,40.940075
40.0,407,41.185368
50.0,414,41.428367
230.0,829,41.906847
100.0,666,42.295192
130.0,802,42.760124
60.0,643,43.136591
140.0,707,43.551206
20.0,388,43.786133
20.0,374,44.007344
50.0,534,44.320346
60.0,527,44.630671
140.0,528,44.937507
165.0,671,45.328634
160.0,625,45.693634
70.0,607,46.047958
130.0,643,46.428099
165.0,655,46.808056
425.0,1184,47.476344
80.0,536,47.791483
55.0,498,48.085432
195.0,1225,48.78511
15.0,513,49.084405
50.0,513,49.390235
180.0,713,49.804348
