episode,total_steps,episode_reward,clipped_episode_reward,consecutive_clipped_over_20,max_consecutive_clipped_over_20,avg_clip50,duration,exploration_rate
0,267,180.0,180.0,1,1,180.0,0.663583517074585,0.9997366600000002
1,431,210.0,210.0,2,2,195.0,0.4047701358795166,0.9995742999999998
2,554,110.0,110.0,3,3,166.66666666666666,0.3115079402923584,0.9994525300000002
3,704,170.0,170.0,4,4,167.5,0.37337374687194824,0.9993040300000003
4,886,115.0,115.0,5,5,157.0,0.4431600570678711,0.9991238499999995
5,996,120.0,120.0,6,6,150.83333333333334,0.2932415008544922,0.9990149499999997
6,1185,250.0,250.0,7,7,165.0,0.46233510971069336,0.9988278400000004
7,1293,20.0,20.0,0,7,146.875,0.2784006595611572,0.9987209199999995
8,1413,75.0,75.0,1,7,138.88888888888889,0.3099489212036133,0.9986021200000005
9,1549,125.0,125.0,2,7,137.5,0.3349473476409912,0.9984674799999999
10,1894,655.0,655.0,3,7,184.54545454545453,0.7749402523040771,0.9981259300000005
11,2038,90.0,90.0,4,7,176.66666666666666,0.36696887016296387,0.9979833699999997
12,2265,170.0,170.0,5,7,176.15384615384616,0.5435070991516113,0.9977586400000004
13,2391,55.0,55.0,6,7,167.5,0.32224297523498535,0.9976339000000001
14,2489,25.0,25.0,7,7,158.0,0.2795143127441406,0.9975368799999995
15,2577,70.0,70.0,8,8,152.5,0.23634696006774902,0.9974497600000003
16,2664,45.0,45.0,9,9,146.1764705882353,0.23404264450073242,0.9973636299999995
17,2821,70.0,70.0,10,10,141.94444444444446,0.4053795337677002,0.9972082
18,2974,50.0,50.0,11,11,137.10526315789474,0.3950521945953369,0.9970567300000005
19,3054,55.0,55.0,12,12,133.0,0.21529293060302734,0.9969775300000004
20,3135,80.0,80.0,13,13,130.47619047619048,0.21416687965393066,0.9968973399999999
21,3241,65.0,65.0,14,14,127.5,0.2786719799041748,0.9967924000000001
22,3432,135.0,135.0,15,15,127.82608695652173,0.4735126495361328,0.9966033099999996
23,3660,525.0,525.0,16,16,144.375,0.5559146404266357,0.9963775899999997
24,3817,165.0,165.0,17,17,145.2,0.39520978927612305,0.9962221600000002
25,3967,35.0,35.0,18,18,140.96153846153845,0.3855576515197754,0.9960736600000003
26,4108,90.0,90.0,19,19,139.07407407407408,0.3578152656555176,0.9959340700000001
27,4260,105.0,105.0,20,20,137.85714285714286,0.38580918312072754,0.9957835900000002
28,4460,100.0,100.0,21,21,136.55172413793105,0.4935314655303955,0.99558559
29,4634,315.0,315.0,22,22,142.5,0.439319372177124,0.9954133299999994
30,4765,155.0,155.0,23,23,142.90322580645162,0.33103060722351074,0.9952836399999996
31,4906,80.0,80.0,24,24,140.9375,0.3591439723968506,0.9951440500000005
32,5060,155.0,155.0,25,25,141.36363636363637,0.38896799087524414,0.9949915900000005
33,5234,90.0,90.0,26,26,139.85294117647058,0.4408705234527588,0.99481933
34,5313,45.0,45.0,27,27,137.14285714285714,0.2160348892211914,0.9947411200000005
35,5529,415.0,415.0,28,28,144.86111111111111,0.5220966339111328,0.9945272799999998
36,5636,60.0,60.0,29,29,142.56756756756758,0.28646302223205566,0.9944213499999995
37,5749,55.0,55.0,30,30,140.26315789473685,0.28897881507873535,0.9943094800000001
38,5904,90.0,90.0,31,31,138.97435897435898,0.3965761661529541,0.9941560299999995
39,6021,60.0,60.0,32,32,137.0,0.295804500579834,0.9940402
40,6186,155.0,155.0,33,33,137.4390243902439,0.4170677661895752,0.9938768500000004
41,6342,105.0,105.0,34,34,136.66666666666666,0.39148497581481934,0.9937224100000003
42,6469,80.0,80.0,35,35,135.34883720930233,0.3408534526824951,0.9935966800000006
43,6592,80.0,80.0,36,36,134.0909090909091,0.31220030784606934,0.9934749099999998
44,6759,120.0,120.0,37,37,133.77777777777777,0.4124941825866699,0.9933095799999999
45,6922,60.0,60.0,38,38,132.17391304347825,0.41111183166503906,0.9931482100000003
46,7073,90.0,90.0,39,39,131.27659574468086,0.3774096965789795,0.9929987199999998
47,7183,65.0,65.0,40,40,129.89583333333334,0.2955667972564697,0.99288982
48,7333,130.0,130.0,41,41,129.89795918367346,0.3812839984893799,0.9927413200000001
49,7580,315.0,315.0,42,42,133.6,0.5834953784942627,0.9924967900000002
50,7696,75.0,75.0,43,43,131.5,0.30807924270629883,0.9923819500000002
51,7787,25.0,25.0,44,44,127.8,0.24528837203979492,0.9922918600000004
52,8041,195.0,195.0,45,45,129.5,0.6144707202911377,0.9920403999999997
53,8237,190.0,190.0,46,46,129.9,0.49143314361572266,0.9918463599999996
54,8359,50.0,50.0,47,47,128.6,0.3204047679901123,0.9917255799999994
55,8442,45.0,45.0,48,48,127.1,0.2294471263885498,0.9916434099999999
56,8585,100.0,100.0,49,49,124.1,0.3761136531829834,0.9915018399999996
57,8803,230.0,230.0,50,50,128.3,0.5395932197570801,0.99128602
58,9026,280.0,280.0,51,51,132.4,0.5518538951873779,0.9910652499999997
59,9133,20.0,20.0,0,51,130.3,0.27549123764038086,0.9909593200000005
60,9261,45.0,45.0,1,51,118.1,0.32079243659973145,0.9908326000000002
61,9471,235.0,235.0,2,51,121.0,0.5288341045379639,0.9906246999999997
62,9670,380.0,380.0,3,51,125.2,0.4856719970703125,0.9904276900000001
63,9827,130.0,130.0,4,51,126.7,0.3985450267791748,0.9902722600000006
64,9987,155.0,155.0,5,51,129.3,0.4015769958496094,0.9901138600000003
65,10129,140.0,140.0,6,51,130.7,0.3545341491699219,0.9899732799999996
66,10273,65.0,65.0,7,51,131.1,0.362058162689209,0.9898307199999999
67,10394,115.0,115.0,8,51,132.0,0.31624627113342285,0.9897109300000003
68,10505,110.0,110.0,9,51,133.2,0.28423500061035156,0.9896010399999999
69,10610,55.0,55.0,10,51,133.2,0.2745940685272217,0.9894970899999997
70,10844,320.0,320.0,11,51,138.0,0.5663893222808838,0.9892654299999997
71,11079,290.0,290.0,12,51,142.5,0.5584475994110107,0.9890327800000001
72,11149,25.0,25.0,13,51,140.3,0.20055937767028809,0.9889634800000002
73,11268,50.0,50.0,14,51,130.8,0.30190563201904297,0.9888456699999997
74,11457,285.0,285.0,15,51,133.2,0.4534893035888672,0.9886585600000003
