#{"t_start": 1783734476.7252264, "env_id": "SpaceInvaders-v0"}
r,l,t
180.0,1110,0.835392
210.0,713,1.249651
110.0,527,1.55855
170.0,641,1.926147
115.0,782,2.375561
120.0,482,2.669068
250.0,796,3.131392
20.0,473,3.410078
75.0,521,3.717165
125.0,592,4.059123
655.0,1413,4.822165
90.0,635,5.189611
170.0,966,5.743946
55.0,535,6.065155
25.0,425,6.337148
70.0,404,6.581819
45.0,379,6.807487
70.0,677,7.215929
50.0,657,7.606268
55.0,376,7.82959
80.0,363,8.046475
65.0,457,8.321688
135.0,800,8.791804
525.0,957,9.34977
165.0,669,9.744287
35.0,643,10.122056
90.0,626,10.485016
105.0,656,10.867784
100.0,857,11.363272
315.0,745,11.797818
155.0,584,12.135175
80.0,611,12.49465
155.0,664,12.885478
90.0,740,13.318997
45.0,377,13.543351
415.0,907,14.060772
60.0,480,14.343124
55.0,511,14.643027
90.0,657,15.028672
60.0,529,15.335158
155.0,696,15.744623
105.0,679,16.137849
80.0,557,16.481322
80.0,537,16.798369
120.0,700,17.20731
60.0,691,17.614035
90.0,657,17.993358
65.0,487,18.284532
130.0,660,18.668178
315.0,1039,19.256542
75.0,507,19.558154
25.0,420,19.805637
195.0,1066,20.421452
190.0,832,20.911778
50.0,538,21.234462
45.0,376,21.466163
100.0,609,21.836381
230.0,925,22.379031
280.0,937,22.930627
20.0,475,23.211662
45.0,547,23.533204
235.0,874,24.050976
380.0,851,24.544939
130.0,669,24.942377
155.0,680,25.338336
140.0,621,25.701891
65.0,610,26.062974
115.0,521,26.369591
110.0,501,26.660301
55.0,462,26.934044
320.0,982,27.499228
290.0,985,28.052059
25.0,340,28.257352
50.0,525,28.561311
285.0,799,29.019608
100.0,610,29.379214
95.0,661,29.764906
50.0,378,29.9892
180.0,712,30.39832
400.0,1128,31.042702
335.0,822,31.519774
140.0,688,31.917921
110.0,642,32.292337
55.0,528,32.603312
315.0,1113,33.244484
125.0,689,33.661171
150.0,797,34.131685
25.0,501,34.433283
35.0,615,34.790187
130.0,658,35.191431
45.0,516,35.520932
60.0,505,35.818502
160.0,667,36.203444
115.0,400,36.436014
215.0,1243,37.134606
285.0,876,37.629932
315.0,968,38.187751
55.0,370,38.406995
90.0,444,38.683652
210.0,644,39.055335
245.0,866,39.556177
415.0,1255,40.247801
25.0,317,40.438001
45.0,407,40.677489
80.0,501,40.970368
40.0,407,41.215736
50.0,414,41.459667
230.0,829,41.934532
100.0,666,42.319623
130.0,802,42.783324
